ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
19937,Cádiz,Andalucía,3,2,4,1,3,4,1,8,4,1,1,4,5,4,4,2,5,3,0,0,12,3,1,2,Regularmente,1,0,38,1,2,2,Obrero,1,1,1,0,2,2.5
20003,Santa Cruz de Tenerife,Canarias,5,5,4,2,6,4,1,3,4,1,0,3,4,4,4,5,8,8,0,0,6,3,0,1,Regularmente,1,0,35,0,3,2,Obrero,1,1,2,1,1,4.0
20004,Asturias,Asturias,4,4,4,0,6,4,1,2,5,0,0,3,3,4,3,4,6,5,1,0,2,3,0,1,Mensualmente,0,0,19,0,2,1,Autónomo,1,1,1,0,2,3.0
20057,Málaga,Andalucía,3,4,2,5,5,4,0,0,0,0,0,0,0,0,0,0,10,0,1,0,3,3,0,2,Sin actividad sexual,0,0,36,0,2,2,Administrativo,1,1,1,0,1,3.5
20112,Cádiz,Andalucía,3,4,2,5,5,4,1,2,4,0,0,3,3,4,3,4,7,7,1,0,2,3,1,1,Regularmente,0,0,20,0,2,2,Obrero,1,1,1,1,2,3.5
20153,Asturias,Asturias,4,4,4,0,6,4,1,40,5,1,1,4,5,5,5,5,8,8,0,0,7,3,1,1,Regularmente,0,0,60,1,2,2,Obrero,1,1,1,1,2,3.0
20188,Guadalajara,Castilla Mancha,4,5,5,4,6,4,1,7,4,1,1,3,4,2,4,4,4,2,0,0,4,3,0,1,Regularmente,0,0,30,1,2,2,Obrero,1,1,1,0,2,4.5
20208,Asturias,Asturias,3,5,2,4,3,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,2,Regularmente,0,0,48,0,3,2,Obrero,1,1,0,0,2,3.5
20248,Málaga,Andalucía,4,5,2,4,3,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,7,0,0,0,Ocasionalmente,0,0,19,0,2,2,Obrero,1,1,0,0,2,3.75
20249,Jaén,Andalucía,2,2,2,4,5,4,1,15,4,1,1,3,3,4,2,4,5,5,1,0,2,3,0,1,Regularmente,0,0,47,1,2,2,Obrero,1,1,1,0,2,2.5
20261,Almería,Andalucía,4,3,4,4,6,5,1,2,5,0,0,3,3,4,3,4,9,9,1,0,1,3,0,1,Regularmente,1,0,18,0,1,0,Agricultor,1,1,1,1,2,3.75
20310,Cádiz,Andalucía,4,5,2,2,5,4,1,2,4,0,0,3,3,4,3,4,7,8,1,0,5,3,1,2,Regularmente,0,1,27,0,2,2,Administrativo,1,1,1,0,2,3.25
