,COMUNIDAD,S_AMOR,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_ANUAL,SEXO,EDAD,ESTUDIOS,SIT_LABORAL,STATUS,NACIONALIDAD,RELIGION,BIENESTAR,OCUPACION_Agricultor,OCUPACION_Autónomo,OCUPACION_Comerciante,OCUPACION_Director,OCUPACION_Mando,OCUPACION_Obrero,OCUPACION_Otro,F_SEXO_Diariamente,F_SEXO_Mensualmente,F_SEXO_Ocasionalmente,F_SEXO_Regularmente,F_SEXO_Sin actividad sexual
53,15,4,0,0,0,0,0,0,0,0,10,0,0,0,6,3,0,1,1,0,67,1,2,1,1,1,2.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,3,4,42,4,1,3,4,4,4,4,8,8,0,0,1,3,0,1,1,1,67,1,2,1,1,1,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
55,12,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,63,3,0,1,1,1,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,1,4,12,4,1,3,3,4,4,4,5,10,0,0,1,3,0,1,0,1,45,2,2,1,1,1,3.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
57,1,4,14,5,1,3,4,4,5,4,8,8,1,0,1,3,0,1,1,1,44,3,2,2,1,1,4.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,12,4,13,4,1,3,4,4,4,4,9,9,0,0,2,3,0,2,0,1,37,2,2,1,1,1,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,15,1,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,1,0,1,56,2,2,0,1,1,3.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
60,2,5,10,5,1,3,4,4,4,4,7,7,0,0,1,3,0,1,0,1,29,2,2,1,1,1,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
61,16,5,10,4,1,3,4,5,3,4,8,8,1,0,1,3,0,1,1,1,28,2,2,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
62,12,4,1,4,0,3,3,4,3,4,7,8,1,0,1,3,1,1,0,0,80,2,2,1,1,1,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,13,4,28,4,1,1,2,3,3,5,10,10,0,0,1,3,0,1,1,1,43,2,2,1,1,1,2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64,14,5,1,4,0,3,3,4,3,4,9,9,1,0,2,3,0,2,0,0,21,2,2,1,0,1,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,12,4,0,0,0,0,0,0,0,0,9,0,1,0,3,3,0,1,0,1,50,3,2,1,1,0,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,6,5,16,5,1,4,4,4,4,4,8,8,0,0,1,3,0,1,1,1,38,2,2,1,1,1,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,12,5,9,5,0,3,3,4,3,4,8,7,0,0,1,3,0,1,1,0,32,2,2,1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
68,13,5,25,5,1,4,3,4,4,3,9,10,1,0,4,3,1,2,1,1,48,2,2,1,1,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,12,5,40,5,1,3,4,4,4,5,7,6,0,0,1,3,0,1,1,0,65,3,2,1,1,1,3.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70,1,4,7,5,1,3,1,4,4,4,10,10,0,0,1,3,0,1,0,1,35,2,2,1,1,1,3.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
71,1,3,20,5,1,3,4,4,4,4,10,10,0,0,1,3,0,1,0,1,40,1,0,1,1,1,2.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,1,4,37,5,1,3,4,4,4,4,8,9,0,0,1,3,1,1,0,0,63,1,2,1,1,1,2.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,12,4,40,4,1,3,4,4,4,4,9,9,0,0,1,3,0,1,0,0,50,4,2,2,1,1,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,15,5,3,5,1,3,4,4,4,4,9,9,1,0,3,3,0,1,0,1,36,3,2,1,1,0,3.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
75,1,4,25,4,1,3,4,5,5,4,8,5,0,0,2,3,1,2,0,0,51,4,2,2,1,1,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76,12,5,0,0,0,0,0,0,0,0,8,0,1,1,3,3,1,2,0,0,43,2,2,1,1,2,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,14,4,27,4,1,3,4,4,4,4,7,8,0,0,1,3,0,1,0,1,50,2,2,2,1,1,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78,12,5,24,5,1,4,4,4,4,4,10,10,0,0,1,3,0,1,1,1,39,2,2,1,1,1,4.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
79,12,4,4,4,0,3,3,4,3,4,9,9,1,0,2,3,0,1,0,1,23,3,1,1,1,1,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80,2,5,33,5,1,3,5,5,4,5,5,5,0,0,1,3,0,1,0,1,49,2,2,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
81,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,67,1,2,1,1,1,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
82,12,4,35,5,1,4,5,5,4,4,8,8,0,0,1,3,0,1,0,0,58,1,2,1,1,1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,1,1,0,0,0,0,0,0,0,0,6,0,0,0,2,3,0,1,0,1,47,3,2,1,1,1,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,1,2,30,4,1,4,4,4,4,4,5,3,0,0,1,3,0,2,1,0,60,0,2,0,1,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
85,12,5,15,4,1,3,4,4,4,5,7,8,0,0,1,3,0,1,0,1,46,2,2,1,1,1,3.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,12,0,0,0,0,0,0,0,0,0,10,0,0,0,2,3,0,1,1,1,64,2,0,1,1,1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,12,5,17,5,1,3,5,4,4,5,9,9,0,0,1,3,0,1,0,0,36,2,2,1,1,1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,1,4,35,4,1,4,5,5,5,5,7,7,1,0,1,3,0,1,0,1,58,2,2,1,1,1,2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,2,4,0,5,0,3,3,4,3,4,6,6,0,0,2,3,0,1,1,0,25,2,2,1,1,1,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
90,1,4,0,0,0,0,0,0,0,0,7,0,1,0,2,3,0,1,0,0,34,2,0,1,1,1,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
